Current Official Name of Satellite,NORAD Number,Detailed Purpose,Users,sensor_type
Jilin-1 GaoFen 03D-30,52447,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-31,52448,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-32,52449,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-33,52450,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 03D-34,55251,Optical Imaging,Commercial,EO
Jilin-1 GaoFen 04A,52388,Optical Imaging,Commercial,EO
Wofuman,55256,Optical Imaging,Commercial,EO
Haihe-1,55255,Optical Imaging,Commercial,EO
Jilin 1 Kuanfu 01B,49003,Optical Imaging,Commercial,EO
Jilin 1 Kuanfu 01C,52443,Optical Imaging,Commercial,EO
Jilin-1 Kuanfu-1,45016,Optical Imaging,Commercial,EO
Jilin-1 Mofang 02A01,51832,Optical Imaging,Commercial,EO
Jilin-1 Mofang 02A03,55252,Optical Imaging,Commercial,EO
Jilin-1 Mofang 02A04,55253,Optical Imaging,Commercial,EO
Jilin-1 Mofang 02A07,55254,Optical Imaging,Commercial,EO
Jilin-1,40961,Optical Imaging,Commercial,EO
Jilin-1-10,43946,Multispectral Imaging,Commercial,EO
Jilin-1,41914,Optical Imaging,Commercial,EO
Jilin-1-4,43022,Optical Imaging,Commercial,EO
Jilin-1-5,43023,Optical Imaging,Commercial,EO
Jilin-1-6,43024,Optical Imaging,Commercial,EO
Jilin-1-7,43159,Optical Imaging,Commercial,EO
Jilin-1-8,43160,Optical Imaging,Commercial,EO
Jilin-1-9,43943,Multispectral Imaging,Commercial,EO
Jin Zijing 3,55259,Optical Imaging,Commercial,EO
Jin Zijing 4,55260,Optical Imaging,Commercial,EO
Jin Zijing 5,49816,Optical Imaging,Commercial,EO
Jin Zijing 6,55258,Optical Imaging,Commercial,EO
KazSTSAT,43783,Optical Imaging,Commercial,EO
Kompsat-2,29268,Optical Imaging,Government/Commercial,EO
Kompsat-3,38338,Optical Imaging,Government/Commercial,EO
Kompsat-3A,40536,Optical Imaging,Government/Commercial,EO
Kompsat-5,39227,Radar Imaging,Government/Commercial,SAR
Lize 1,49815,Optical Imaging,Commercial,EO
Menut,55010,Optical/Infrared Imaging,Commercial,EO
NovaSAR-1,43619,Radar Imaging,Government/Commercial,SAR
Ñt-19,48905,Optical/Hyperspectral Imaging,Commercial,EO
Ñt-3 ,42760,Optical Imaging,Commercial,EO
Ñt-4,43195,Hyperspectral Imaging,Commercial,EO
Ñt-5,43204,Hyperspectral Imaging,Commercial,EO
Ñt-6 ,46272,Optical Imaging,Commercial,EO
Paz,43215,Radar Imaging,Military/Commercial,SAR
Pléiades HR1B ,39019,Optical Imaging,Commercial,EO
Pléiades Neo 3 ,48268,Optical Imaging,Commercial,EO
Pléiades Neo 4,49070,Optical Imaging,Commercial,EO
Qiancheng-01,44486,Optical Imaging,Commercial,EO
QPS-SAR 1,44856,Radar Imaging,Commercial,SAR
QPS-SAR 2,47485,Radar Imaging,Commercial,SAR
Radarsat-2,32382,Radar Imaging,Commercial,SAR
Reaktor Hello World,43743,Hyperspectral Imaging,Commercial,EO
Resurs-P1,39186,Optical Imaging,Government/Commercial,EO
Resurs-P2,40360,Optical Imaging/Automatic Identification System (AIS),Government/Commercial,EO
Siwei 01,52320,Optical Imaging,Commercial,EO
Siwei 02,52322,Optical Imaging,Commercial,EO
Siwei Gaojing 2-01 ,53128,Radar Imaging,Commercial,SAR
Siwei Gaojing 2-02 ,53129,Radar Imaging,Commercial,SAR
