OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SKYSAT-C7,2017-068E,2026-04-22T15:14:10.646016,15.35785715,0.0004834,97.4452,249.5895,312.1992,47.8841,0,U,42991,999,47384,2.27E-04,7.84E-05,0
SKYSAT-C6,2017-068F,2026-04-22T19:50:53.099808,15.33460135,0.0002078,97.4495,249.9357,15.5824,344.5481,0,U,42992,999,47383,2.14E-04,6.84E-05,0
CARTOSAT-2F,2018-004A,2026-04-22T21:10:49.893888,15.1924834,0.0002496,97.4073,173.223,99.3939,260.7578,0,U,43111,999,45893,1.73E-04,3.58E-05,0
GAOFEN-1 02,2018-031A,2026-04-22T20:41:22.265664,14.76437681,0.0003175,98.056,175.5313,160.111,200.0224,0,U,43259,999,43453,6.48E-05,3.99E-06,0
GAOFEN-1 03,2018-031B,2026-04-22T20:09:50.522976,14.76425219,0.0001278,98.0555,175.3741,226.0091,134.1013,0,U,43260,999,43452,7.53E-05,4.72E-06,0
GAOFEN-1 04,2018-031D,2026-04-22T21:12:28.937664,14.76461629,0.0000706,98.0561,175.6012,84.2113,275.9177,0,U,43262,999,43452,1.31E-04,8.59E-06,0
SENTINEL-3B,2018-039A,2026-04-22T18:53:25.027008,14.26732517,0.0001674,98.6275,181.106,95.4996,264.6376,0,U,43437,999,41622,4.54E-05,6.60E-07,0
GAOFEN-5 01,2018-043A,2026-04-22T15:22:01.354944,14.60564431,0.0000626,98.4533,83.0753,218.7061,141.4094,0,U,43461,999,42358,5.34E-05,2.10E-06,0
GAOFEN-6,2018-048A,2026-04-22T20:13:47.842176,14.76563257,0.0012109,97.7791,177.5443,1.8225,358.3027,0,U,43484,999,42522,3.66E-05,2.07E-06,0
GAOFEN-11 01,2018-063A,2026-04-22T21:02:09.149856,15.53664487,0.0004584,97.1329,179.9665,156.3453,203.8012,0,U,43585,999,43175,1.88E-04,1.19E-04,0
ICESAT-2,2018-070A,2026-04-22T18:14:05.727264,15.28290038,0.0002597,92.002,276.0289,58.8562,301.2942,0,U,43613,999,42399,8.03E-05,2.21E-05,0
HYSIS,2018-096A,2026-04-22T20:34:24.425760,14.7865851,0.0000907,97.9863,180.0292,69.7148,290.4161,0,U,43719,999,39924,4.91E-05,3.08E-06,0
KAZSTSAT,2018-099AB,2026-04-22T01:19:20.256384,14.99765981,0.00035757,97.4378,146.5178,207.8689,152.2344,0,U,43783,999,40289,8.40E-05,9.83E-06,0
SAUDISAT 5A,2018-102A,2026-04-22T21:13:51.170592,15.27472067,0.0008831,97.3105,175.5425,339.5125,20.5759,0,U,43831,999,40723,1.47E-04,3.89E-05,0
SAUDISAT 5B,2018-102C,2026-04-22T20:20:51.523584,15.27758371,0.0009616,97.3206,178.476,341.4431,18.6456,0,U,43833,999,40734,1.42E-04,3.77E-05,0
GAOFEN-10R,2019-066A,2026-04-22T21:27:34.167744,14.82931158,0.0004832,98.046,66.0891,331.6342,28.4607,0,U,44622,999,35418,1.08E-04,8.21E-06,0
CARTOSAT-3,2019-081A,2026-04-22T19:57:54.824256,15.19262301,0.0011618,97.4339,175.5748,351.6499,8.454,0,U,44804,999,35506,1.47E-04,3.04E-05,0
