위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
TBA - TO BE ASSIGNED,82517,2022-08-04 23:24:00,72.8,752.8
TBA - TO BE ASSIGNED,53361,2022-08-04 07:40:00,72.8,691.7
TBA - TO BE ASSIGNED,270213,2022-08-04 01:41:00,72.7,683.3
STARLINK-4324,53085,2022-08-04 21:30:00,72.7,416.9
STARLINK-4008,52622,2022-08-04 00:49:00,72.7,543.6
TBA - TO BE ASSIGNED,87681,2022-08-04 03:53:00,72.7,1104.5
TBA - TO BE ASSIGNED,87074,2022-08-04 19:38:00,72.7,1114.1
STARLINK-4065,52841,2022-08-04 17:06:00,72.6,462.6
STARLINK-3928,52606,2022-08-04 09:42:00,72.6,544.3
TBA - TO BE ASSIGNED,270109,2022-08-04 18:47:00,72.6,709.1
STARLINK-4198,52858,2022-08-04 07:43:00,72.6,352.1
STARLINK-3906,52585,2022-08-04 22:40:00,72.6,543.7
TBA - TO BE ASSIGNED,53362,2022-08-04 07:39:00,72.4,695.4
FREGAT DEB,52955,2022-08-04 10:43:00,72.4,367.9
TBA - TO BE ASSIGNED,82915,2022-08-04 14:17:00,72.4,625.8
STARLINK-4318,53086,2022-08-04 21:30:00,72.3,417.4
TBA - TO BE ASSIGNED,81969,2022-08-04 04:10:00,72.3,614.8
TBA - TO BE ASSIGNED,53096,2022-08-04 12:17:00,72.3,513.6
TBA - TO BE ASSIGNED,85151,2022-08-04 11:07:00,72.3,774.0
STARLINK-4184,52852,2022-08-04 07:44:00,72.3,351.8
TBA - TO BE ASSIGNED,81374,2022-08-04 01:25:00,72.3,755.9
TBA - TO BE ASSIGNED,81371,2022-08-04 08:47:00,72.2,760.1
TBA - TO BE ASSIGNED,53363,2022-08-04 07:53:00,72.2,560.5
TBA - TO BE ASSIGNED,89171,2022-08-04 14:36:00,72.2,519.8
TBA - TO BE ASSIGNED,87878,2022-08-04 11:13:00,72.1,826.2
