OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00512,2026-095AB,2026-05-20T14:00:01.999872,15.32927732,.00048955,51.8817,15.8774,179.1653,124.1035,0,U,68889,999,456,.13030396E-2,.41937E-3,0
KUIPER-00519,2026-095AC,2026-05-20T09:10:06.667104,15.38585958,.00020874,51.8842,16.6819,142.5067,217.6066,0,U,68890,999,345,.51869552E-3,.19732E-3,0
KUIPER-00521,2026-095AD,2026-05-20T15:19:25.472064,15.38045528,.00013654,51.8852,15.4019,98.6845,261.4297,0,U,68891,999,349,.44800449E-3,.1668E-3,0
KUIPER-00524,2026-095AE,2026-05-20T09:15:01.033632,15.38318930,.00022438,51.8834,16.7054,165.9596,194.1454,0,U,68892,999,345,.72479926E-3,.27515E-3,0
VIASAT-3 F3,2026-096A,2026-05-20T14:50:26.019744,1.26371167,.12950258,2.4117,280.2797,180.7749,114.0367,0,U,68893,999,27,0,-.116E-5,0
FALCON HEAVY R/B,2026-096B,2026-05-20T10:46:44.753376,1.35919129,.14832648,2.6797,280.0928,180.6862,179.2924,0,U,68894,999,28,0,-.108E-5,0
STARLINK-37527,2026-097A,2026-05-20T14:00:01.999872,15.52409643,.00010877,97.2851,336.2910,65.2327,242.0791,0,U,68895,999,448,-.53970724E-1,-.286698E-1,0
STARLINK-37432,2026-097B,2026-05-20T14:00:01.999872,15.62914020,.00018169,97.2845,336.3521,68.7909,26.4284,0,U,68896,999,448,-.28881879E-1,-.2299607E-1,0
STARLINK-37534,2026-097C,2026-05-20T14:00:01.999872,15.49204069,.00021389,97.2847,336.2291,79.6112,92.6694,0,U,68897,999,448,.7468017E-4,.3975E-4,0
STARLINK-37386,2026-097D,2026-05-20T14:00:01.999872,15.49192583,.000158,97.2847,336.2354,87.1754,98.7544,0,U,68898,999,448,.21432906E-3,.11585E-3,0
STARLINK-37514,2026-097E,2026-05-20T14:00:01.999872,15.53742986,.00015514,97.2853,336.3115,100.7624,256.5671,0,U,68899,999,448,-.4006705E-1,-.2259006E-1,0
STARLINK-36961,2026-097F,2026-05-20T14:00:01.999872,15.49221205,.00024431,97.2849,336.2319,77.1821,101.2115,0,U,68900,999,446,.19968102E-3,.10797E-3,0
STARLINK-37360,2026-097G,2026-05-20T14:00:01.999872,15.52639356,.00015619,97.2851,336.3094,68.5672,291.5184,0,U,68901,999,448,-.55582464E-1,-.2962729E-1,0
STARLINK-37564,2026-097H,2026-05-20T14:00:01.999872,15.49185823,.00016751,97.2855,336.2780,101.7343,189.8184,0,U,68902,999,448,.93377881E-4,.4991E-4,0
STARLINK-37567,2026-097J,2026-05-20T14:00:01.999872,15.49162689,.00015647,97.2852,336.3018,77.4378,261.7469,0,U,68903,999,448,.31211287E-3,.16905E-3,0
STARLINK-37528,2026-097K,2026-05-20T14:00:01.999872,15.56259745,.00018301,97.2847,336.3387,84.5185,349.1817,0,U,68904,999,448,-.44645178E-1,-.2749561E-1,0
STARLINK-37494,2026-097L,2026-05-20T14:00:01.999872,15.49203964,.00010193,97.2856,336.2705,71.0769,196.3163,0,U,68905,999,448,.20207504E-3,.10921E-3,0
