name	norad_id	country	epoch	inclination	mean_motion	eccentricity	altitude_km	period_min	rcs_size	object_type	line1	line2	launch_date_x	decay_date_x	launch_date_y	decay_date_y	launch_date	decay_date	sat_name	purpose	detailed_purpose	users	operator	orbit_type	sensor	source	filter_source	commercial_source
WORLDVIEW 3	40115	US	2026-05-20T14:36:00.797184	97.857	14.84969523	0.00026456	620.8	96.97	LARGE	PAYLOAD	1 40115U 14048A   26140.60834256  .00000479  00000-0  62520-4 0  9994	2 40115  97.8570 215.8220 0002646  69.7146 290.4353 14.84969523637812	2014-08-13		2014-08-13		2014-08-13		Worldview 3	Earth Observation	Optical Imaging/Infrared Imaging	Commercial	Maxar Technologies Inc.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
WORLDVIEW 2	35946	US	2026-05-20T14:35:28.041216	98.4683	14.37935543	0.00033018	772.5	100.14	LARGE	PAYLOAD	1 35946U 09055A   26140.60796344  .00000062  00000-0  34956-4 0  9997	2 35946  98.4683 214.4417 0003302 312.9268  47.1641 14.37935543871686	2009-10-08		2009-10-08		2009-10-08		Worldview 2	Earth Observation	Optical Imaging	Commercial	Maxar Technologies Inc.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
KOMPSAT 3A	40536	SKOR	2026-05-20T14:32:04.888896	97.6892	15.52657893	0.00549093	416.1	92.74	LARGE	PAYLOAD	1 40536U 15014A   26140.60561214  .00018012  00000-0  27565-3 0  9997	2 40536  97.6892 129.9808 0054909 277.4410  82.0605 15.52657893617534	2015-03-25		2015-03-25		2015-03-25		"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)"	Earth Observation	Optical Imaging	Government/Commercial	Korea Aerospace Research Institute (KARI)	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ZHUHAI-1 OHS-02	43441	PRC	2026-05-20T14:29:53.737152	97.0387	15.25432098	0.00082687	496.6	94.4	MEDIUM	PAYLOAD	1 43441U 18040C   26140.60409418  .00005459  00000-0  21841-3 0  9996	2 43441  97.0387 166.3884 0008269 341.1894  18.9038 15.25432098110070	2018-04-26		2018-04-26		2018-04-26		Zhuhai 1-05 (OHS-2)	Earth Observation	Hyperspectral Imaging	Commercial	Zhuhai Orbita Aerospace Science and Technology Co.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
ZHUHAI-1 OVS-02	43440	PRC	2026-05-20T14:29:33.058176	97.0404	15.24611252	0.00039724	499.1	94.45	MEDIUM	PAYLOAD	1 43440U 18040B   26140.60385484  .00004999  00000-0  20533-3 0  9996	2 43440  97.0404 159.4760 0003972  30.2708 329.8760 15.24611252448510	2018-04-26		2018-04-26		2018-04-26		Zhuhai 1-03 (OVS-2A)	Earth Observation	Video Imaging	Commercial	Zhuhai Orbita Control Engineering Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01-09	43943	PRC	2026-05-20T14:29:04.184160	97.4723	15.20238259	0.00028117	512.3	94.72	MEDIUM	PAYLOAD	1 43943U 19005B   26140.60352065  .00003267  00000-0  15384-3 0  9990	2 43943  97.4723 235.8097 0002812 152.1255 208.0132 15.20238259404950	2019-01-21		2019-01-21		2019-01-21		Jilin-1-9 (Guanpu 1)	Earth Observation	Multispectral Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_MR	UCS	UCS	UCS
JILIN-01 GAOFEN 2D	49256	PRC	2026-05-20T14:26:49.557408	97.6449	15.10363552	0.00323215	542.2	95.34	LARGE	PAYLOAD	1 49256U 21086A   26140.60196247  .00002737  00000-0  16889-3 0  9995	2 49256  97.6449 263.3633 0032321 237.4176 122.3932 15.10363552256550	2021-09-27		2021-09-27		2021-09-27		Jilin-1 Gaofen 02D 	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GLOBAL-17	49949	US	2026-05-20T14:26:24.891072	41.994	15.50776076	0.0011903	421.6	92.86	MEDIUM	PAYLOAD	1 49949U 21120A   26140.60167698  .00019936  00000-0  34078-3 0  9990	2 49949  41.9940 213.4834 0011903  56.5788 303.6193 15.50776076250615	2021-12-09		2021-12-09		2021-12-09		BlackSky Global 17	Earth Observation	Optical Imaging	Commercial	BlackSky Global	Non-Polar Inclined	OPT_HR	UCS	UCS	UCS
SSTL S1-4	43618	UK	2026-05-20T14:25:49.200960	97.5062	14.96182513	0.00014231	585.8	96.25	LARGE	PAYLOAD	1 43618U 18071A   26140.60126390  .00001208  00000-0  11203-3 0  9990	2 43618  97.5062  13.3576 0001423  79.1978 280.9404 14.96182513418818	2018-09-16		2018-09-16		2018-09-16		SSTL-S1-4 	Earth Observation	Optical Imaging	Commercial	Surrey Satellite Technology Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SUPERVIEW NEO-2 01	53128	PRC	2026-05-20T14:25:22.711584	97.3928	15.24498002	0.00017117	499.4	94.46	LARGE	PAYLOAD	1 53128U 22082A   26140.60095731  .00000432  00000-0  20424-4 0  9992	2 53128  97.3928 150.9171 0001712  89.1172 271.0262 15.24498002214004	2022-07-15		2022-07-15		2022-07-15		Siwei Gaojing 2-01 	Earth Observation	Radar Imaging	Commercial	China Siwei Surveying and Mapping Technology Co. Ltd.	Sun-Synchronous	SAR	UCS	UCS	UCS
PNEO4	49070	FR	2026-05-20T14:21:58.418784	97.8931	14.81676618	0.00014724	631.2	97.19	LARGE	PAYLOAD	1 49070U 21073E   26140.59859281  .00000660  00000-0  90488-4 0  9998	2 49070  97.8931 215.7573 0001472  92.8856 267.2525 14.81676618257282	2021-08-17		2021-08-17		2021-08-17		Pl?iades Neo 4	Earth Observation	Optical Imaging	Commercial	Airbus Defense and Space	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
GRUS-1A	43890	TBD	2026-05-20T14:21:33.832800	97.4576	14.98996693	0.00066442	577.1	96.06	MEDIUM	PAYLOAD	1 43890U 18111Q   26140.59830825  .00000847  00000-0  74510-4 0  9999	2 43890  97.4576   8.9192 0006644 247.3775 112.6746 14.98996693403578	2018-12-27		2018-12-27		2018-12-27		GRUS-1A	Earth Observation	Multispectral Imaging	Commercial	Axelspace	Sun-Synchronous	OPT_MR	UCS	UCS	UCS
JILIN 1	40961	PRC	2026-05-20T14:19:50.323008	97.6509	14.78107864	0.00168822	642.4	97.42	LARGE	PAYLOAD	1 40961U 15057D   26140.59711022  .00000469  00000-0  71437-4 0  9993	2 40961  97.6509 141.3355 0016882 359.0204   1.0972 14.78107864571534	2015-10-07		2015-10-07		2015-10-07		"Jilin-1-1 (Optical A, Lingqiao 1)"	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
JILIN-01 GAOFEN 3D 27	52444	PRC	2026-05-20T14:17:51.167904	97.5688	15.69292717	0.00051996	368.1	91.76	MEDIUM	PAYLOAD	1 52444U 22048B   26140.59573111  .00072820  00000-0  62113-3 0  9995	2 52444  97.5688 252.1752 0005200 148.7008 211.4564 15.69292717225149	2022-05-05		2022-05-05		2022-05-05		Jilin-1 GaoFen 03D-27	Earth Observation	Optical Imaging	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
SUPERVIEW-1 03	43099	PRC	2026-05-20T14:14:23.432064	97.3128	15.38310114	0.00461432	458.2	93.61	LARGE	PAYLOAD	1 43099U 18002A   26140.59332676  .00010888  00000-0  28018-3 0  9997	2 43099  97.3128 225.4937 0046143 280.2303  79.3741 15.38310114464120	2018-01-09		2018-01-09		2018-01-09		Superview 1-03 (GaoJing 1-03)	Earth Observation	Optical Imaging	Commercial	Beijing Space View Technology	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
LINGQIAO VIDEO A	40959	PRC	2026-05-20T14:13:25.627872	97.6618	14.77347535	0.00170296	644.8	97.47	MEDIUM	PAYLOAD	1 40959U 15057B   26140.59265773 -.00000019  00000-0  40874-5 0  9991	2 40959  97.6618 136.7582 0017030   4.8386 355.2987 14.77347535571332	2015-10-07		2015-10-07		2015-10-07		"Jilin-1 (Lingqiao-A, Lingqiao Video A)"	Earth Observation	Optical Imaging (video)	Commercial	Chang Guang Satellite Technology Co. Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
DMC 3-FM1	40715	UK	2026-05-20T14:12:57.250656	97.649	14.85705046	0.00065541	618.5	96.92	LARGE	PAYLOAD	1 40715U 15032A   26140.59232929  .00000814  00000-0  99695-4 0  9997	2 40715  97.6490   6.8449 0006554 132.4744 227.7027 14.85705046585814	2015-07-10		2015-07-10		2015-07-10		DMC 3-1 (Disaster Monitoring Constellation)	Earth Observation	Optical Imaging	Commercial	Surrey Satellite Technology Ltd.	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
KOMPSAT 3	38338	SKOR	2026-05-20T14:12:09.900864	98.1156	14.62178475	0.00049709	693.3	98.48	LARGE	PAYLOAD	1 38338U 12025B   26140.59178126  .00000235  00000-0  55879-4 0  9995	2 38338  98.1156  98.5316 0004971 186.5671 173.5466 14.62178475747313	2012-05-17		2012-05-17		2012-05-17		"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)"	Earth Observation	Optical Imaging	Government/Commercial	Korea Aerospace Research Institute (KARI)	Sun-Synchronous	OPT_HR	UCS	UCS	UCS
