w_mentions,w_goldstein,w_tone,w_geo,w_zscore,f1,precision,recall,best_threshold
0.0,0.2,0.2,0.6,0.0,0.24305555555555555,0.2713178294573643,0.22012578616352202,0.35
0.0,0.2,0.3,0.0,0.5,0.2465753424657534,0.21844660194174756,0.2830188679245283,0.2
0.0,0.2,0.3,0.1,0.4,0.2471264367816092,0.2275132275132275,0.27044025157232704,0.25
0.0,0.2,0.3,0.2,0.3,0.2465753424657534,0.21844660194174756,0.2830188679245283,0.25
0.0,0.2,0.3,0.3,0.2,0.2491349480968858,0.27692307692307694,0.22641509433962265,0.35
0.0,0.2,0.3,0.4,0.1,0.24242424242424243,0.21568627450980393,0.27672955974842767,0.3
0.0,0.2,0.3,0.5,0.0,0.23671497584541062,0.19215686274509805,0.3081761006289308,0.3
0.0,0.2,0.4,0.0,0.4,0.24664879356568364,0.21495327102803738,0.2893081761006289,0.2
0.0,0.2,0.4,0.1,0.3,0.24489795918367346,0.3488372093023256,0.18867924528301888,0.4
0.0,0.2,0.4,0.2,0.2,0.23872679045092837,0.20642201834862386,0.2830188679245283,0.25
0.0,0.2,0.4,0.3,0.1,0.243559718969555,0.19402985074626866,0.3270440251572327,0.25
0.0,0.2,0.4,0.4,0.0,0.24456521739130435,0.215311004784689,0.2830188679245283,0.3
0.0,0.2,0.5,0.0,0.3,0.24641833810888253,0.22631578947368422,0.27044025157232704,0.25
0.0,0.2,0.5,0.1,0.2,0.25274725274725274,0.22439024390243903,0.2893081761006289,0.25
0.0,0.2,0.5,0.2,0.1,0.2506527415143603,0.21428571428571427,0.3018867924528302,0.25
0.0,0.2,0.5,0.3,0.0,0.25,0.22009569377990432,0.2893081761006289,0.3
0.0,0.2,0.6,0.0,0.2,0.2572815533980582,0.20948616600790515,0.3333333333333333,0.2
0.0,0.2,0.6,0.1,0.1,0.24598930481283424,0.21395348837209302,0.2893081761006289,0.25
0.0,0.2,0.6,0.2,0.0,0.24935064935064935,0.21238938053097345,0.3018867924528302,0.25
0.0,0.2,0.7,0.0,0.1,0.2654028436018957,0.21292775665399238,0.3522012578616352,0.2
0.0,0.2,0.7,0.1,0.0,0.24352331606217614,0.20704845814977973,0.29559748427672955,0.25
0.0,0.2,0.8,0.0,0.0,0.2653061224489796,0.22317596566523606,0.3270440251572327,0.25
0.0,0.3,0.0,0.0,0.7,0.2880658436213992,0.4166666666666667,0.22012578616352202,0.3
0.0,0.3,0.0,0.1,0.6,0.28820960698689957,0.4714285714285714,0.20754716981132076,0.35
0.0,0.3,0.0,0.2,0.5,0.2948207171314742,0.40217391304347827,0.23270440251572327,0.35
