SQLDATE,EventRootCode,QuadClass,GLOBALEVENTID,EventCode,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,Actor1Type1Code,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,score_mentions,score_goldstein,score_tone,score_zscore,score_geo,priority_score
2022-08-03,15,4,1056892421,150,CHINA,TAIWAN,CHN,TWN,,-7.2,131,-4.02493258570215,4,39.9289,116.388,https://www.wfdd.org/story/what-3-past-taiwan-strait-crises-can-teach-us-about-us-china-tensions-today,1.0,0.0,0.397407610695304,0.41516184893779534,0.1,0.325
2024-10-14,15,4,1203916364,150,CHINA,TAIWAN,CHN,TWN,,-7.2,96,-3.75046459716497,4,21.4167,121.5,"https://www.swissinfo.ch/eng/china-launches-war-games-around-taiwan,-drawing-ire-from-taipei,-washington/87725744",1.0,0.0,0.3703076120706367,0.0,0.1,0.325
2021-10-03,19,4,1007324925,192,CHINESE,TAIWAN,CHN,TWN,,-9.5,840,-5.28320555549905,4,39.9289,116.388,https://www.mdjonline.com/tribune/china-continues-taiwan-flybys-on-second-day-with-39-more-jets/article_a44624e9-97e5-50df-9b60-2d44b77f83d4.html,1.0,0.8214285711352041,0.5216450342749681,0.4055881863800452,0.1,0.325
2024-05-19,15,4,1176594617,152,CHINA,TAIWAN,CHN,TWN,,-7.2,154,-2.50024416973329,4,39.9289,116.388,https://www.theaustralian.com.au/news/latest-news/taiwan-coast-guard-ramps-up-island-patrols-ahead-of-inauguration/news-story/17dae1f4a9df936d62f1b797db0ba11c?nk=dba68234df3430486272b962366dd421-1716091303,1.0,0.0,0.0,0.03221534662778867,0.1,0.325
2023-04-04,15,4,1094899457,151,BEIJING,TAIWAN,CHN,TWN,,-7.2,105,-0.453680186894922,4,39.9289,116.388,https://news.yahoo.com/punching-pooh-unofficial-airforce-badge-073404289.html,1.0,0.0,0.0,0.00096015415983959,0.1,0.325
2022-08-03,15,4,1057025627,150,TAIWANESE,BEIJING,TWN,CHN,GOV,-7.2,108,-0.71625499399372,4,39.9289,116.388,https://www.startribune.com/pelosi-tells-taiwan-us-commitment-to-democracy-is-ironclad/600195237/,1.0,0.0,0.0,0.41516184893779534,0.1,0.325
2014-05-15,19,4,297472107,190,TAIWANESE,CHINESE,TWN,CHN,,-10.0,100,1.8331575248403,4,39.9289,116.388,http://www.geo.tv/article-147747-China-issues-Vietnam-tourist-warning-after-riots,1.0,0.9999999996428571,0.0,0.054741611469553766,0.1,0.325
2021-05-04,19,4,988273304,193,TAIPEI,CHINA,TWN,CHN,,-10.0,200,-1.28950913375303,4,32.5261,119.739,https://auburnpub.com/news/world/slow-to-start-china-mobilizes-to-vaccinate-at-headlong-pace/article_86d1dd1a-ba49-5fc0-9cae-b322598ef07c.html,1.0,0.9999999996428571,0.0,0.11218358681605477,0.1,0.325
2015-12-27,19,4,497464015,190,TAIWAN,CHINA,TWN,CHN,,-10.0,356,-3.87168771748717,4,39.9289,116.388,http://www.sfgate.com/news/world/article/Taiwan-presidential-candidates-clash-over-China-6722284.php,1.0,0.9999999996428571,0.3822767543065609,0.21664914001974045,0.1,0.325
2017-05-25,19,4,658842434,190,TAIWAN,CHINESE,TWN,CHN,,-10.0,143,-5.36648411058138,4,39.9289,116.388,http://www.dailymail.co.uk/wires/afp/article-4540320/Taiwan-war-games-simulate-China-invasion.html,1.0,0.9999999996428571,0.529867664317268,0.002086467401927845,0.1,0.325
2018-03-20,19,4,740267848,190,TAIWAN,XI JINPING,TWN,CHN,,-10.0,130,-2.1656721744246,4,39.9289,116.388,https://www.businessinsider.com.au/xi-jinping-national-peoples-congress-closing-speech-2018-3,1.0,0.9999999996428571,0.0,0.017010117859597225,0.1,0.325
2018-06-04,19,4,761429054,190,TAIWAN,CHINESE,TWN,CHN,,-10.0,188,-4.5312137312452,4,39.9289,116.388,https://www.business-standard.com/article/pti-stories/taiwan-searches-for-missing-f-16-fighter-jet-118060400422_1.html,1.0,0.9999999996428571,0.447396020713666,0.0,0.1,0.325
2018-03-20,19,4,740266944,190,XI JINPING,TAIWAN,CHN,TWN,GOV,-10.0,130,-2.1656721744246,4,39.9289,116.388,https://www.businessinsider.com.au/xi-jinping-national-peoples-congress-closing-speech-2018-3,1.0,0.9999999996428571,0.0,0.017010117859597225,0.1,0.325
2021-10-04,19,4,1007532071,192,TAIPEI,CHINESE,TWN,CHN,,-9.5,93,-6.85007306646887,4,39.9289,116.388,https://www.malaymail.com/news/world/2021/10/04/china-sends-52-jets-into-taiwan-defence-zone-in-another-record-incursion/2010744,1.0,0.8214285711352041,0.6763519916095061,0.03362323818039898,0.1,0.325
2021-05-04,19,4,988271438,193,TAIPEI,CHINA,TWN,CHN,,-10.0,398,-1.50180974429918,4,29.4639,112.615,https://abcnews.go.com/Health/wireStory/slow-start-china-mobilizes-vaccinate-headlong-pace-78055959,1.0,0.9999999996428571,0.0,0.11218358681605477,0.1,0.325
2021-06-03,19,4,988272111,193,TAIPEI,CHINA,TWN,CHN,,-10.0,161,-1.50189683574794,4,29.4639,112.615,https://abcnews.go.com/Health/wireStory/slow-start-china-mobilizes-vaccinate-headlong-pace-78055959,1.0,0.9999999996428571,0.0,0.22312544116174787,0.1,0.325
2022-08-28,15,4,1060492190,150,TAIWAN,CHINA,TWN,CHN,,-7.2,96,-2.86925918290325,4,39.9289,116.388,https://www.jpost.com/breaking-news/article-715734,1.0,0.0,0.0,0.0,0.1,0.325
2023-08-25,15,4,1122922995,150,BEIJING,TAIWAN,CHN,TWN,,-7.2,187,-3.90354072159011,4,39.9289,116.388,https://apnews.com/article/william-lai-taiwan-china-trade-elections-1ea93d53661929bac7f8ac9dbb1f1f6a,1.0,0.0,0.3854218072942766,0.008844346854457374,0.1,0.325
2021-01-01,15,4,962233830,154,TAIWAN,BEIJING,TWN,CHN,,-7.2,155,0.129768859959847,4,39.9289,116.388,https://www.theedgemarkets.com/article/new-years-speech-taiwans-president-again-reaches-out-china,1.0,0.0,0.0,0.011096973338633884,0.1,0.325
2024-12-06,19,4,1214021981,192,TAIWAN,BEIJING,TWN,CHN,,-9.5,157,-1.52608150647932,4,39.9289,116.388,https://www.independent.co.uk/news/taiwan-ap-china-palau-taipei-b2659933.html,1.0,0.8214285711352041,0.0,0.0,0.1,0.325
2023-08-12,15,4,1120486470,150,CHINESE,TAIWAN,CHN,TWN,,-7.2,154,-1.62513929770643,4,39.9289,116.388,https://www.nytimes.com/2023/08/12/world/asia/taiwan-us-china-lai-ching-te.html,1.0,0.0,0.0,0.0012417324703616537,0.1,0.325
2024-05-23,15,4,1177439386,150,CHINA,TAIWAN,CHN,TWN,,-7.2,298,-3.85935163743347,4,-35.2833,149.217,https://www.hometownregister.com/news/national/chinas-military-surrounds-taiwan-as-punishment/article_9a75cd7e-585f-5603-bbd0-398801a1a26e.html,1.0,0.0,0.38105873338444607,0.1406229961787832,0.1,0.325
2023-08-26,19,4,1123063902,190,TAIWAN,CHINA,TWN,CHN,,-10.0,104,-1.96606047676615,4,26.3358,127.801,https://www.reuters.com/world/asia-pacific/taiwan-reports-20-chinese-military-aircraft-entered-defence-zone-2023-08-26/,1.0,0.9999999996428571,0.0,0.0,0.1,0.325
2023-04-09,19,4,1094503640,190,CHINA,TAIWAN,CHN,TWN,MIL,-10.0,118,-2.1017692370025,4,21.4167,121.5,https://www.illawarramercury.com.au/story/8152454/china-simulates-striking-taiwan-on-second-day-of-drills/?cs=7484,1.0,0.9999999996428571,0.0,0.28901476582391084,0.1,0.325
