SQLDATE,EventCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_Type,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
2025-02-27,193,-10.0,210,-3.96406951424588,4,39.9289,116.388,https://www.ksat.com/news/world/2025/02/27/taiwan-condemns-china-for-conducting-shooting-drills-off-its-coast/
2025-02-27,192,-9.5,204,-3.98306402370834,4,24.4367,118.318,https://www.ksat.com/news/world/2025/02/27/taiwan-condemns-china-for-conducting-shooting-drills-off-its-coast/
2025-02-27,192,-9.5,609,-3.98306402370834,4,24.4367,118.318,https://www.ksat.com/news/world/2025/02/27/taiwan-condemns-china-for-conducting-shooting-drills-off-its-coast/
2023-04-10,190,-10.0,118,-1.41340005506962,4,39.9289,116.388,https://thetimeshub.in/china-simulates-targeted-bombings-against-taiwan/
2023-04-10,150,-7.2,76,-2.35908705981088,4,24.0,119.0,https://www.leadertelegram.com/news/world/china-holds-a-second-day-of-military-exercises-around-taiwan/article_8261ae62-24e8-5e58-ab7a-19c52f2704e1.html
2023-04-10,190,-10.0,310,-2.67644665453947,4,24.0,119.0,https://www.ctvnews.ca/world/china-military-displays-force-toward-taiwan-after-tsai-trip-1.6348646
2023-04-10,195,-10.0,50,-2.25188048202695,4,24.0,119.0,https://www.channel3000.com/news/national-and-world-news/china-appears-to-simulate-first-aircraft-carrier-strike-on-taiwan/article_efea4eec-e491-5671-9220-77ef740002be.html
2023-04-10,190,-10.0,44,-2.57801405712369,4,39.9289,116.388,https://www.hindustantimes.com/world-news/chinataiwan-live-china-practices-sealing-off-taiwan-on-day-3-of-wargames-101681105741190.html
2023-04-10,150,-7.2,65,-2.4077764389807,4,25.0478,121.532,https://www.msn.com/en-sg/news/world/china-to-stage-taiwan-live-fire-drills/ar-AA19EMfj
2023-04-10,150,-7.2,55,-1.75579076786127,4,25.0478,121.532,https://www.theaustralian.com.au/news/latest-news/china-simulates-taiwan-strikes-in-second-day-of-joint-sword-drills/news-story/e8e6671f7cdb7909f8fe6b14c27755b2?nk=d23ff840b38c138ac9f55adc184aca8d-1681092995
2024-07-21,190,-10.0,46,-2.77633221482534,4,25.0478,121.532,https://www.bignewsnetwork.com/news/274463581/with-increased-chinese-pla-threat-taiwan-to-flag-off-exercise-han-kuang-on-monday
2024-11-06,190,-10.0,55,-3.32421545738475,4,39.9289,116.388,https://www.yahoo.com/news/taiwan-students-design-drones-mock-024139486.html
2024-11-06,190,-10.0,55,-3.32421545738475,4,39.9289,116.388,https://www.yahoo.com/news/taiwan-students-design-drones-mock-024139486.html
2023-04-01,190,-10.0,62,-3.53373169975166,4,39.9289,116.388,https://www.bignewsnetwork.com/news/273696950/taiwan-responds-to-chinese-combat-readiness-patrols
2024-01-08,150,-7.2,48,-3.97524613777559,4,25.0478,121.532,http://www.koreatimes.co.kr/www/world/2024/01/501_366490.html
2023-09-14,154,-7.2,78,0.684666379988355,5,26.545,117.843,https://www.ctvnews.ca/world/china-promotes-economic-integration-with-taiwan-while-militarily-threatening-the-island-1.6560961
2022-12-08,192,-9.5,112,-2.80915053591426,4,24.05,123.783,https://news.webindia123.com/news/Articles/World/20221208/4012385.html
2025-01-02,190,-10.0,80,-1.54780714581201,4,25.0478,121.532,https://www.marketscreener.com/news/latest/Taiwan-reports-first-Chinese-combat-patrol-of-the-New-Year-48671824/
