w_mentions,w_goldstein,w_tone,w_geo,f1,precision,recall,best_threshold
0.2,0.4,0.4,0.0,0.08413001912045888,0.046218487394957986,0.46808510638297873,0.5
0.2,0.5,0.0,0.3,0.16243654822335024,0.10666666666666667,0.3404255319148936,0.8
0.2,0.5,0.1,0.2,0.16666666666666669,0.10828025477707007,0.3617021276595745,0.7
0.2,0.5,0.2,0.1,0.10460251046025106,0.058004640371229696,0.5319148936170213,0.6
0.2,0.5,0.3,0.0,0.08602150537634408,0.05172413793103448,0.2553191489361702,0.6
0.2,0.6,0.0,0.2,0.17171717171717174,0.11258278145695365,0.3617021276595745,0.8
0.2,0.6,0.1,0.1,0.1411764705882353,0.08653846153846154,0.3829787234042553,0.7
0.2,0.6,0.2,0.0,0.08178438661710036,0.04480651731160896,0.46808510638297873,0.65
0.2,0.7,0.0,0.1,0.1691542288557214,0.11038961038961038,0.3617021276595745,0.8
0.2,0.7,0.1,0.0,0.13445378151260506,0.1111111111111111,0.1702127659574468,0.75
0.2,0.8,0.0,0.0,0.1,0.23076923076923078,0.06382978723404255,0.85
0.3,0.0,0.0,0.7,0.15308641975308643,0.08659217877094973,0.6595744680851063,0.55
0.3,0.0,0.1,0.6,0.15308641975308643,0.08659217877094973,0.6595744680851063,0.5
0.3,0.0,0.2,0.5,0.14975845410628016,0.08446866485013624,0.6595744680851063,0.45
0.3,0.0,0.3,0.4,0.18357487922705315,0.11875,0.40425531914893614,0.45
0.3,0.0,0.4,0.3,0.16666666666666666,0.1024390243902439,0.44680851063829785,0.35
0.3,0.0,0.5,0.2,0.15267175572519082,0.09302325581395349,0.425531914893617,0.3
0.3,0.0,0.6,0.1,0.11515151515151517,0.06713780918727916,0.40425531914893614,0.25
0.3,0.0,0.7,0.0,0.09836065573770493,0.05813953488372093,0.3191489361702128,0.25
0.3,0.1,0.0,0.6,0.16080402010050251,0.10526315789473684,0.3404255319148936,0.7
0.3,0.1,0.1,0.5,0.16190476190476188,0.10429447852760736,0.3617021276595745,0.6
0.3,0.1,0.2,0.4,0.1588785046728972,0.10179640718562874,0.3617021276595745,0.5
0.3,0.1,0.3,0.3,0.1714285714285714,0.12903225806451613,0.2553191489361702,0.45
0.3,0.1,0.4,0.2,0.13852813852813853,0.08695652173913043,0.3404255319148936,0.35
0.3,0.1,0.5,0.1,0.1037463976945245,0.06,0.3829787234042553,0.3
0.3,0.1,0.6,0.0,0.08080808080808081,0.048,0.2553191489361702,0.3
0.3,0.2,0.0,0.5,0.16161616161616163,0.10596026490066225,0.3404255319148936,0.7
0.3,0.2,0.1,0.4,0.16736401673640167,0.10416666666666667,0.425531914893617,0.55
0.3,0.2,0.2,0.3,0.16216216216216214,0.10285714285714286,0.3829787234042553,0.5
0.3,0.2,0.3,0.2,0.1509433962264151,0.10714285714285714,0.2553191489361702,0.45
0.3,0.2,0.4,0.1,0.10256410256410257,0.057007125890736345,0.5106382978723404,0.35
0.3,0.2,0.5,0.0,0.0879120879120879,0.050473186119873815,0.3404255319148936,0.35
0.3,0.3,0.0,0.4,0.16243654822335024,0.10666666666666667,0.3404255319148936,0.7
0.3,0.3,0.1,0.3,0.16748768472906403,0.10897435897435898,0.3617021276595745,0.6
0.3,0.3,0.2,0.2,0.14229249011857706,0.08737864077669903,0.3829787234042553,0.5
0.3,0.3,0.3,0.1,0.12408759124087593,0.07488986784140969,0.3617021276595745,0.45
0.3,0.3,0.4,0.0,0.08193668528864059,0.044897959183673466,0.46808510638297873,0.4
0.3,0.4,0.0,0.3,0.17171717171717174,0.11258278145695365,0.3617021276595745,0.7
0.3,0.4,0.1,0.2,0.16585365853658537,0.10759493670886076,0.3617021276595745,0.6
